@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

R_data_frame,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,827,91,77,14,0,84.615385,15.384615,0,0.694631,0.145646,0.332421,29.44179,66.80935,90.361617,62.163383,28.198235,0.992985,0.683114,0.309871,64.061043,0.703968,70.894086,0.926829,38,0.22,11,0.78,39,0.073171,3,0.77551,0.926829,0.844444,0.705454,0.949268,0.947205,0.846154,0.139325,0.860675,0.153846,0.85961,0.846154,0.846302,0.705454,0.949268,0.949442,0.846135,0.846154,0.001,0,0.000606,0.000293,0.606,0.293,5836,139345,17905,93.406593,59.89011,?,?,?
R_data_frame,2,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,81,11,0,88.043478,11.956522,0,0.75743,0.146676,0.328835,29.678028,66.158766,91.214767,61.069805,30.144962,0.991465,0.663802,0.327663,64.900704,0.705442,71.151532,0.853659,35,0.098039,5,0.901961,46,0.146341,6,0.875,0.853659,0.864198,0.757615,0.925395,0.93319,0.880435,0.124815,0.875185,0.119565,0.88033,0.880435,0.880277,0.757615,0.925395,0.930355,0.878701,0.880435,0.001,0,0.000736,0.000367,0.736,0.367,5836,139180,18070,92.391304,61.956522,?,?,?
R_data_frame,2,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,75,17,0,81.521739,18.478261,0,0.626908,0.199097,0.397165,40.284692,79.906168,91.214767,115.303381,-24.088614,0.991465,1.253298,-0.261833,54.757881,0.595194,60.031816,0.804878,33,0.176471,9,0.823529,42,0.195122,8,0.785714,0.804878,0.795181,0.627059,0.874223,0.882181,0.815217,0.18681,0.81319,0.184783,0.815807,0.815217,0.815416,0.627059,0.874223,0.861692,0.813432,0.815217,0.001,0,0.001273,0.000338,1.273,0.338,5836,139180,18070,91.304348,63.043478,?,?,?
R_data_frame,2,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,83,9,0,90.217391,9.782609,0,0.801534,0.10431,0.277724,21.105837,55.875783,91.214767,45.204142,46.010625,0.991465,0.491349,0.500115,72.474087,0.787762,79.454336,0.878049,36,0.078431,4,0.921569,47,0.121951,5,0.9,0.878049,0.888889,0.801729,0.957437,0.958901,0.902174,0.102557,0.897443,0.097826,0.902132,0.902174,0.902045,0.801729,0.957437,0.96105,0.900755,0.902174,0,0.001,0.000693,0.000322,0.693,0.322,5836,139180,18070,94.565217,59.23913,?,?,?
R_data_frame,2,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,77,15,0,83.695652,16.304348,0,0.666021,0.167622,0.363082,33.916144,73.048916,91.214767,68.834106,22.380661,0.991465,0.748197,0.243268,60.276073,0.655175,66.081486,0.756098,31,0.098039,5,0.901961,46,0.243902,10,0.861111,0.756098,0.805195,0.670187,0.924438,0.922627,0.836957,0.178898,0.821102,0.163043,0.839113,0.836957,0.835472,0.670187,0.924438,0.928897,0.832504,0.836957,0.001,0,0.000751,0.000334,0.751,0.334,5836,139180,18070,92.391304,60.869565,?,?,?
R_data_frame,2,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,78,14,0,84.782609,15.217391,0,0.689039,0.173288,0.374769,35.062669,75.400355,91.214767,77.407904,13.806863,0.991465,0.84139,0.150075,59.601387,0.647841,65.341818,0.780488,32,0.098039,5,0.901961,46,0.219512,9,0.864865,0.780488,0.820513,0.691775,0.920612,0.908807,0.847826,0.165377,0.834623,0.152174,0.849065,0.847826,0.846795,0.691775,0.920612,0.925164,0.844219,0.847826,0.001,0,0.000649,0.000309,0.649,0.309,5836,139180,18070,90.217391,60.326087,?,?,?
R_data_frame,2,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,78,14,0,84.782609,15.217391,0,0.689039,0.177738,0.374307,35.962989,75.307431,91.214767,98.81228,-7.597513,0.991465,1.074047,-0.082582,58.798361,0.639113,64.46145,0.780488,32,0.098039,5,0.901961,46,0.219512,9,0.864865,0.780488,0.820513,0.691775,0.890005,0.890511,0.847826,0.165377,0.834623,0.152174,0.849065,0.847826,0.846795,0.691775,0.890005,0.884881,0.844219,0.847826,0,0.001,0.000632,0.000308,0.632,0.308,5836,139180,18070,90.217391,59.782609,?,?,?
R_data_frame,2,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,80,12,0,86.956522,13.043478,0,0.737268,0.145356,0.308916,29.411035,62.151212,91.214767,49.282666,41.932101,0.991465,0.535681,0.455784,64.944385,0.705917,71.19942,0.878049,36,0.137255,7,0.862745,44,0.121951,5,0.837209,0.878049,0.857143,0.737976,0.943568,0.934485,0.869565,0.128771,0.871229,0.130435,0.870886,0.869565,0.869814,0.737976,0.943568,0.945683,0.868571,0.869565,0,0.001,0.000585,0.000293,0.585,0.293,5836,139180,18070,96.73913,63.586957,?,?,?
R_data_frame,2,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,826,92,74,18,0,80.434783,19.565217,0,0.604017,0.199524,0.409122,40.371204,82.311754,91.214767,101.331771,-10.117004,0.991465,1.101432,-0.109967,54.331613,0.590561,59.564492,0.780488,32,0.176471,9,0.823529,42,0.219512,9,0.780488,0.780488,0.780488,0.604017,0.887614,0.881142,0.804348,0.200331,0.799669,0.195652,0.804348,0.804348,0.804348,0.604017,0.887614,0.891677,0.802009,0.804348,0.001,0,0.000584,0.000296,0.584,0.296,5836,139180,18070,90.217391,59.782609,?,?,?
R_data_frame,2,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20211013.1108,827,91,79,12,0,86.813187,13.186813,0,0.735977,0.139794,0.342252,28.258758,68.785168,90.361617,79.908336,10.453281,0.992985,0.878114,0.114871,64.993705,0.714217,71.92623,0.902439,37,0.16,8,0.84,42,0.097561,4,0.822222,0.902439,0.860465,0.738844,0.922439,0.924486,0.868132,0.125693,0.874307,0.131868,0.872124,0.868132,0.868451,0.738844,0.922439,0.923936,0.867733,0.868132,0.001,0,0.000646,0.000297,0.646,0.297,5836,139345,17905,91.208791,57.142857,?,?,?
