@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
57,507,1,304,106,0.741463,0.998031,0.625154,0.998031,0.374846,0.768764,0.883442,1.129708,0.05562
58,507,1,303,107,0.739024,0.998031,0.625926,0.998031,0.374074,0.769347,0.882353,1.131102,0.056813
59,507,1,302,108,0.736585,0.998031,0.6267,0.998031,0.3733,0.769932,0.881264,1.132501,0.05698
60,507,1,300,110,0.731707,0.998031,0.628253,0.998031,0.371747,0.771103,0.879085,1.135307,0.056998
61,507,1,299,111,0.729268,0.998031,0.629032,0.998031,0.370968,0.771689,0.877996,1.136716,0.057435
62,507,1,298,112,0.726829,0.998031,0.629814,0.998031,0.370186,0.772277,0.876906,1.138128,0.057455
63,507,1,297,113,0.72439,0.998031,0.630597,0.998031,0.369403,0.772866,0.875817,1.139543,0.058843
64,506,2,296,114,0.721951,0.996063,0.630923,0.996063,0.369077,0.772519,0.873638,1.140132,0.059064
65,506,2,295,115,0.719512,0.996063,0.63171,0.996063,0.36829,0.773109,0.872549,1.141555,0.061297
66,506,2,294,116,0.717073,0.996063,0.6325,0.996063,0.3675,0.7737,0.87146,1.142982,0.062013
67,506,2,293,117,0.714634,0.996063,0.633292,0.996063,0.366708,0.774292,0.87037,1.144413,0.062434
68,506,2,292,118,0.712195,0.996063,0.634085,0.996063,0.365915,0.774885,0.869281,1.145847,0.062509
69,506,2,291,119,0.709756,0.996063,0.634881,0.996063,0.365119,0.775479,0.868192,1.147285,0.062728
70,506,2,290,120,0.707317,0.996063,0.635678,0.996063,0.364322,0.776074,0.867102,1.148726,0.062924
71,506,2,289,121,0.704878,0.996063,0.636478,0.996063,0.363522,0.776669,0.866013,1.150171,0.063456
72,506,2,288,122,0.702439,0.996063,0.63728,0.996063,0.36272,0.777266,0.864924,1.151619,0.063722
73,506,2,287,123,0.7,0.996063,0.638083,0.996063,0.361917,0.777863,0.863834,1.153072,0.064242
74,506,2,286,124,0.697561,0.996063,0.638889,0.996063,0.361111,0.778462,0.862745,1.154528,0.066229
75,506,2,285,125,0.695122,0.996063,0.639697,0.996063,0.360303,0.779061,0.861656,1.155987,0.069294
76,506,2,284,126,0.692683,0.996063,0.640506,0.996063,0.359494,0.779661,0.860566,1.15745,0.070924
77,506,2,283,127,0.690244,0.996063,0.641318,0.996063,0.358682,0.780262,0.859477,1.158917,0.071661
78,506,2,282,128,0.687805,0.996063,0.642132,0.996063,0.357868,0.780864,0.858388,1.160388,0.072544
79,506,2,281,129,0.685366,0.996063,0.642948,0.996063,0.357052,0.781467,0.857298,1.161863,0.073774
80,506,2,280,130,0.682927,0.996063,0.643766,0.996063,0.356234,0.782071,0.856209,1.163341,0.074065
81,506,2,278,132,0.678049,0.996063,0.645408,0.996063,0.354592,0.783282,0.854031,1.166308,0.074146
82,506,2,277,133,0.67561,0.996063,0.646232,0.996063,0.353768,0.783888,0.852941,1.167798,0.074383
83,506,2,276,134,0.673171,0.996063,0.647059,0.996063,0.352941,0.784496,0.851852,1.169291,0.075671
84,506,2,275,135,0.670732,0.996063,0.647887,0.996063,0.352113,0.785105,0.850763,1.170789,0.075831
85,506,2,274,136,0.668293,0.996063,0.648718,0.996063,0.351282,0.785714,0.849673,1.17229,0.077019
86,505,3,274,136,0.668293,0.994094,0.648267,0.994094,0.351733,0.784771,0.848584,1.171475,0.077352
87,505,3,273,137,0.665854,0.994094,0.6491,0.994094,0.3509,0.785381,0.847495,1.17298,0.077551
88,505,3,272,138,0.663415,0.994094,0.649936,0.994094,0.350064,0.785992,0.846405,1.17449,0.081363
89,504,4,272,138,0.663415,0.992126,0.649485,0.992126,0.350515,0.785047,0.845316,1.173675,0.081914
90,504,4,271,139,0.660976,0.992126,0.650323,0.992126,0.349677,0.785659,0.844227,1.175189,0.083137
91,504,4,270,140,0.658537,0.992126,0.651163,0.992126,0.348837,0.786271,0.843137,1.176708,0.083217
92,502,6,259,151,0.631707,0.988189,0.659658,0.988189,0.340342,0.791174,0.828976,1.19206,0.083287
93,502,6,258,152,0.629268,0.988189,0.660526,0.988189,0.339474,0.791798,0.827887,1.193628,0.08578
94,502,6,246,164,0.6,0.988189,0.671123,0.988189,0.328877,0.799363,0.814815,1.212777,0.086022
95,502,6,245,165,0.597561,0.988189,0.672021,0.988189,0.327979,0.8,0.813725,1.214401,0.087246
96,502,6,244,166,0.595122,0.988189,0.672922,0.988189,0.327078,0.800638,0.812636,1.216029,0.0881
97,502,6,243,167,0.592683,0.988189,0.673826,0.988189,0.326174,0.801277,0.811547,1.217661,0.088666
98,499,9,229,181,0.558537,0.982283,0.68544,0.982283,0.31456,0.807443,0.793028,1.238649,0.08919
99,498,10,215,195,0.52439,0.980315,0.698457,0.980315,0.301543,0.815725,0.776688,1.262173,0.089612
100,498,10,205,205,0.5,0.980315,0.708393,0.980315,0.291607,0.822461,0.765795,1.280127,0.090248
101,498,10,193,217,0.470732,0.980315,0.720695,0.980315,0.279305,0.830692,0.752723,1.302358,0.091214
102,498,10,192,218,0.468293,0.980315,0.721739,0.980315,0.278261,0.831386,0.751634,1.304245,0.091667
103,498,10,191,219,0.465854,0.980315,0.722787,0.980315,0.277213,0.83208,0.750545,1.306138,0.091832
104,497,11,191,219,0.465854,0.978346,0.722384,0.978346,0.277616,0.831104,0.749455,1.30541,0.095663
105,497,11,190,220,0.463415,0.978346,0.723435,0.978346,0.276565,0.831799,0.748366,1.30731,0.099039
106,497,11,189,221,0.460976,0.978346,0.72449,0.978346,0.27551,0.832496,0.747277,1.309216,0.10306
107,497,11,188,222,0.458537,0.978346,0.725547,0.978346,0.274453,0.833194,0.746187,1.311127,0.105097
108,496,12,187,223,0.456098,0.976378,0.726208,0.976378,0.273792,0.832914,0.744009,1.312321,0.105855
109,496,12,185,225,0.45122,0.976378,0.728341,0.976378,0.271659,0.834315,0.74183,1.316175,0.107699
110,496,12,184,226,0.44878,0.976378,0.729412,0.976378,0.270588,0.835017,0.740741,1.31811,0.109689
111,495,13,182,228,0.443902,0.974409,0.731167,0.974409,0.268833,0.835443,0.737473,1.321282,0.110497
112,495,13,181,229,0.441463,0.974409,0.732249,0.974409,0.267751,0.836149,0.736383,1.323237,0.112411
113,495,13,180,230,0.439024,0.974409,0.733333,0.974409,0.266667,0.836855,0.735294,1.325197,0.114676
114,495,13,179,231,0.436585,0.974409,0.734421,0.974409,0.265579,0.837563,0.734205,1.327163,0.115385
115,495,13,178,232,0.434146,0.974409,0.735513,0.974409,0.264487,0.838273,0.733115,1.329135,0.117812
116,495,13,177,233,0.431707,0.974409,0.736607,0.974409,0.263393,0.838983,0.732026,1.331113,0.118609
117,495,13,176,234,0.429268,0.974409,0.737705,0.974409,0.262295,0.839695,0.730937,1.333097,0.123094
118,495,13,175,235,0.426829,0.974409,0.738806,0.974409,0.261194,0.840407,0.729847,1.335086,0.124406
119,495,13,174,236,0.42439,0.974409,0.73991,0.974409,0.26009,0.841121,0.728758,1.337082,0.131809
120,495,13,173,237,0.421951,0.974409,0.741018,0.974409,0.258982,0.841837,0.727669,1.339084,0.131912
121,495,13,172,238,0.419512,0.974409,0.742129,0.974409,0.257871,0.842553,0.72658,1.341091,0.134918
122,495,13,171,239,0.417073,0.974409,0.743243,0.974409,0.256757,0.843271,0.72549,1.343105,0.13961
123,495,13,170,240,0.414634,0.974409,0.744361,0.974409,0.255639,0.84399,0.724401,1.345125,0.141874
124,494,14,170,240,0.414634,0.972441,0.743976,0.972441,0.256024,0.843003,0.723312,1.344429,0.142703
125,493,15,170,240,0.414634,0.970472,0.74359,0.970472,0.25641,0.842015,0.722222,1.343731,0.147925
126,492,16,170,240,0.414634,0.968504,0.743202,0.968504,0.256798,0.841026,0.721133,1.343031,0.15369
127,492,16,169,241,0.412195,0.968504,0.744327,0.968504,0.255673,0.841745,0.720044,1.345063,0.156703
128,492,16,168,242,0.409756,0.968504,0.745455,0.968504,0.254545,0.842466,0.718954,1.347101,0.157658
129,492,16,167,243,0.407317,0.968504,0.746586,0.968504,0.253414,0.843188,0.717865,1.349145,0.160118
130,492,16,166,244,0.404878,0.968504,0.74772,0.968504,0.25228,0.843911,0.716776,1.351195,0.161931
131,492,16,165,245,0.402439,0.968504,0.748858,0.968504,0.251142,0.844635,0.715686,1.353252,0.162049
132,492,16,164,246,0.4,0.968504,0.75,0.968504,0.25,0.845361,0.714597,1.355315,0.168582
133,492,16,163,247,0.397561,0.968504,0.751145,0.968504,0.248855,0.846088,0.713508,1.357384,0.169814
134,491,17,163,247,0.397561,0.966535,0.750765,0.966535,0.249235,0.845095,0.712418,1.356697,0.172832
135,491,17,162,248,0.395122,0.966535,0.751914,0.966535,0.248086,0.845823,0.711329,1.358774,0.175475
136,490,18,162,248,0.395122,0.964567,0.751534,0.964567,0.248466,0.844828,0.71024,1.358087,0.190923
137,490,18,161,249,0.392683,0.964567,0.752688,0.964567,0.247312,0.845557,0.70915,1.360173,0.191836
138,490,18,160,250,0.390244,0.964567,0.753846,0.964567,0.246154,0.846287,0.708061,1.362265,0.195795
139,490,18,159,251,0.387805,0.964567,0.755008,0.964567,0.244992,0.847018,0.706972,1.364364,0.195945
140,490,18,157,253,0.382927,0.964567,0.757342,0.964567,0.242658,0.848485,0.704793,1.368582,0.200175
141,489,19,156,254,0.380488,0.962598,0.75814,0.962598,0.24186,0.848222,0.702614,1.370024,0.204975
142,489,19,155,255,0.378049,0.962598,0.759317,0.962598,0.240683,0.848958,0.701525,1.372151,0.205488
143,489,19,154,256,0.37561,0.962598,0.760498,0.962598,0.239502,0.849696,0.700436,1.374285,0.208026
144,489,19,153,257,0.373171,0.962598,0.761682,0.962598,0.238318,0.850435,0.699346,1.376426,0.21077
145,489,19,152,258,0.370732,0.962598,0.762871,0.962598,0.237129,0.851175,0.698257,1.378573,0.211075
146,488,20,151,259,0.368293,0.96063,0.763693,0.96063,0.236307,0.850915,0.696078,1.38006,0.21294
147,488,20,149,261,0.363415,0.96063,0.766091,0.96063,0.233909,0.852402,0.6939,1.384393,0.214224
148,488,20,147,263,0.358537,0.96063,0.768504,0.96063,0.231496,0.853893,0.691721,1.388753,0.217755
149,487,21,145,265,0.353659,0.958661,0.77057,0.958661,0.22943,0.854386,0.688453,1.392486,0.218498
150,487,21,144,266,0.35122,0.958661,0.771791,0.958661,0.228209,0.855136,0.687364,1.394693,0.22131
151,487,21,143,267,0.34878,0.958661,0.773016,0.958661,0.226984,0.855888,0.686275,1.396907,0.223827
152,487,21,142,268,0.346341,0.958661,0.774245,0.958661,0.225755,0.85664,0.685185,1.399127,0.228494
153,487,21,141,269,0.343902,0.958661,0.775478,0.958661,0.224522,0.857394,0.684096,1.401355,0.229499
154,486,22,139,271,0.339024,0.956693,0.7776,0.956693,0.2224,0.857899,0.680828,1.405191,0.232768
155,486,22,135,275,0.329268,0.956693,0.782609,0.956693,0.217391,0.860939,0.676471,1.414242,0.235056
